date,tournament,surface,Round,winner,winner_rank_at_match,loser,loser_rank_at_match,score,source_player
20-Oct-2025,Basel,Hard,QF,Alejandro Davidovich Fokina,18.0,Casper Ruud,11,7-6(1) 0-0 RET,Casper Ruud
20-Oct-2025,Basel,Hard,R16,Casper Ruud,11,Stan Wawrinka,158.0,6-4 7-6(5),Casper Ruud
20-Oct-2025,Basel,Hard,R32,Casper Ruud,11,Quentin Halys,78.0,6-1 7-6(3),Casper Ruud
13-Oct-2025,Stockholm,Hard,F,Casper Ruud,12,Ugo Humbert,25.0,6-2 6-3,Casper Ruud
13-Oct-2025,Stockholm,Hard,SF,Casper Ruud,12,Denis Shapovalov,23.0,6-3 6-4,Casper Ruud
13-Oct-2025,Stockholm,Hard,QF,Casper Ruud,12,Sebastian Korda,60.0,6-7(5) 6-4 6-4,Casper Ruud
13-Oct-2025,Stockholm,Hard,R16,Casper Ruud,12,Marin Cilic,92.0,7-6(2) 6-4,Casper Ruud
1-Oct-2025,Shanghai Masters,Hard,R64,Zizou Bergs,44.0,Casper Ruud,12,3-6 7-5 4-1 RET,Casper Ruud
24-Sep-2025,Tokyo,Hard,SF,Carlos Alcaraz,1.0,Casper Ruud,12,3-6 6-3 6-4,Casper Ruud
24-Sep-2025,Tokyo,Hard,QF,Casper Ruud,12,Aleksandar Vukic,95.0,6-3 6-2,Casper Ruud
24-Sep-2025,Tokyo,Hard,R16,Casper Ruud,12,Matteo Berrettini,56.0,7-6(4) 6-2,Casper Ruud
24-Sep-2025,Tokyo,Hard,R32,Casper Ruud,12,Shintaro Mochizuki,106.0,4-6 6-1 6-1,Casper Ruud
19-Sep-2025,Laver Cup,Hard,RR,Casper Ruud,12,Reilly Opelka,62.0,6-4 7-6(4),Casper Ruud
25-Aug-2025,US Open,Hard,R64,Raphael Collignon,107.0,Casper Ruud,12,6-4 3-6 3-6 6-4 7-5,Casper Ruud
25-Aug-2025,US Open,Hard,R128,Casper Ruud,12,Sebastian Ofner,140.0,6-1 6-2 7-6(5),Casper Ruud
7-Aug-2025,Cincinnati Masters,Hard,R64,Arthur Rinderknech,70.0,Casper Ruud,13,6-7(5) 6-4 6-2,Casper Ruud
27-Jul-2025,Canada Masters,Hard,R16,Karen Khachanov,16.0,Casper Ruud,13,6-4 7-5,Casper Ruud
27-Jul-2025,Canada Masters,Hard,R32,Casper Ruud,13,Nuno Borges,42.0,7-5 6-4,Casper Ruud
27-Jul-2025,Canada Masters,Hard,R64,Casper Ruud,13,Roman Safiullin,82.0,6-3 6-3,Casper Ruud
14-Jul-2025,Gstaad,Clay,QF,Juan Manuel Cerundolo,109.0,Casper Ruud,13,6-2 1-6 6-3,Casper Ruud
14-Jul-2025,Gstaad,Clay,R16,Casper Ruud,13,Dominic Stricker,229.0,7-5 7-6(6),Casper Ruud
26-May-2025,Roland Garros,Clay,R64,Nuno Borges,41.0,Casper Ruud,8,2-6 6-4 6-1 6-0,Casper Ruud
26-May-2025,Roland Garros,Clay,R128,Casper Ruud,8,Albert Ramos,251.0,6-3 6-4 6-2,Casper Ruud
7-May-2025,Rome Masters,Clay,QF,Jannik Sinner,1.0,Casper Ruud,7,6-0 6-1,Casper Ruud
7-May-2025,Rome Masters,Clay,R16,Casper Ruud,7,Jaume Munar,66.0,6-3 6-4,Casper Ruud
7-May-2025,Rome Masters,Clay,R32,Casper Ruud,7,Matteo Berrettini,30.0,7-5 2-0 RET,Casper Ruud
7-May-2025,Rome Masters,Clay,R64,Casper Ruud,7,Alexander Bublik,76.0,6-4 4-6 6-3,Casper Ruud
23-Apr-2025,Madrid Masters,Clay,F,Casper Ruud,15,Jack Draper,6.0,7-5 3-6 6-4,Casper Ruud
23-Apr-2025,Madrid Masters,Clay,SF,Casper Ruud,15,Francisco Cerundolo,21.0,6-4 7-5,Casper Ruud
23-Apr-2025,Madrid Masters,Clay,QF,Casper Ruud,15,Daniil Medvedev,10.0,6-3 7-5,Casper Ruud
23-Apr-2025,Madrid Masters,Clay,R16,Casper Ruud,15,Taylor Fritz,4.0,7-5 6-4,Casper Ruud
23-Apr-2025,Madrid Masters,Clay,R32,Casper Ruud,15,Sebastian Korda,24.0,6-3 6-3,Casper Ruud
23-Apr-2025,Madrid Masters,Clay,R64,Casper Ruud,15,Arthur Rinderknech,76.0,6-3 6-4,Casper Ruud
14-Apr-2025,Barcelona,Clay,QF,Holger Rune,13.0,Casper Ruud,10,6-4 6-2,Casper Ruud
14-Apr-2025,Barcelona,Clay,R16,Casper Ruud,10,Hamad Medjedovic,72.0,7-5 7-5,Casper Ruud
14-Apr-2025,Barcelona,Clay,R32,Casper Ruud,10,Daniel Elahi Galan,117.0,6-4 6-3,Casper Ruud
5-Apr-2026,Monte-Carlo,Clay,R16,Alexander Bublik,11.0,Jiri Lehecka,13,6-2 7-5,Jiri Lehecka
5-Apr-2026,Monte-Carlo,Clay,R32,Jiri Lehecka,13,Alejandro Tabilo,39.0,4-6 7-6(4) 6-3,Jiri Lehecka
5-Apr-2026,Monte-Carlo,Clay,R64,Jiri Lehecka,13,Emilio Nava,103.0,7-6(1) 6-7(8) 6-2,Jiri Lehecka
18-Mar-2026,Miami Masters,Hard,F,Jannik Sinner,2.0,Jiri Lehecka,22,6-4 6-4,Jiri Lehecka
18-Mar-2026,Miami Masters,Hard,SF,Jiri Lehecka,22,Arthur Fils,31.0,6-2 6-2,Jiri Lehecka
18-Mar-2026,Miami Masters,Hard,QF,Jiri Lehecka,22,Martin Landaluce,151.0,7-6(1) 7-5,Jiri Lehecka
18-Mar-2026,Miami Masters,Hard,R16,Jiri Lehecka,22,Taylor Fritz,7.0,6-4 6-7(4) 6-2,Jiri Lehecka
18-Mar-2026,Miami Masters,Hard,R32,Jiri Lehecka,22,Ethan Quinn,56.0,6-3 7-6(6),Jiri Lehecka
18-Mar-2026,Miami Masters,Hard,R64,Jiri Lehecka,22,Moise Kouame,385.0,6-2 7-5,Jiri Lehecka
4-Mar-2026,Indian Wells Masters,Hard,R64,Sebastian Baez,53.0,Jiri Lehecka,23,6-4 6-1,Jiri Lehecka
23-Feb-2026,Dubai,Hard,QF,Felix Auger Aliassime,8.0,Jiri Lehecka,24,6-3 7-6(2),Jiri Lehecka
23-Feb-2026,Dubai,Hard,R16,Jiri Lehecka,24,Pablo Carreno Busta,124.0,7-6(6) 6-4,Jiri Lehecka
23-Feb-2026,Dubai,Hard,R32,Jiri Lehecka,24,Luca Nardi,109.0,4-6 6-4 6-2,Jiri Lehecka
16-Feb-2026,Doha,Hard,QF,Arthur Fils,40.0,Jiri Lehecka,22,6-3 6-3,Jiri Lehecka
16-Feb-2026,Doha,Hard,R16,Jiri Lehecka,22,Zizou Bergs,44.0,6-2 6-1,Jiri Lehecka
16-Feb-2026,Doha,Hard,R32,Jiri Lehecka,22,Jenson Brooksby,47.0,6-3 6-3,Jiri Lehecka
7-Feb-2026,Davis Cup QLS R1: SWE vs CZE,Hard,RR,Jiri Lehecka,21,Dragos Nicolae Madaras,576.0,6-3 6-4,Jiri Lehecka
19-Jan-2026,Australian Open,Hard,R128,Arthur Gea,198.0,Jiri Lehecka,19,7-5 7-6(1) 7-5,Jiri Lehecka
4-Jan-2026,Brisbane,Hard,R16,Sebastian Korda,46.0,Jiri Lehecka,19,6-3 1-2 RET,Jiri Lehecka
4-Jan-2026,Brisbane,Hard,R32,Jiri Lehecka,19,Tomas Machac,35.0,6-4 6-7(5) 6-2,Jiri Lehecka
20-Nov-2025,Davis Cup Finals QF: ESP vs CZE,Hard,RR,Jaume Munar,36.0,Jiri Lehecka,17,6-3 6-4,Jiri Lehecka
27-Oct-2025,Paris Masters,Hard,R64,Valentin Vacherot,40.0,Jiri Lehecka,18,6-1 6-3,Jiri Lehecka
20-Oct-2025,Basel,Hard,R32,Botic Van De Zandschulp,82.0,Jiri Lehecka,17,6-2 6-2,Jiri Lehecka
13-Oct-2025,Brussels,Hard,F,Felix Auger Aliassime,13.0,Jiri Lehecka,17,7-6(2) 6-7(6) 6-2,Jiri Lehecka
13-Oct-2025,Brussels,Hard,SF,Jiri Lehecka,17,Giovanni Mpetshi Perricard,37.0,7-6(3) 7-6(7),Jiri Lehecka
13-Oct-2025,Brussels,Hard,QF,Jiri Lehecka,17,Benjamin Bonzi,53.0,6-7(8) 6-1 4-1 RET,Jiri Lehecka
13-Oct-2025,Brussels,Hard,R16,Jiri Lehecka,17,Gilles Arnaud Bailly,247.0,6-3 6-2,Jiri Lehecka
1-Oct-2025,Shanghai Masters,Hard,R16,Arthur Rinderknech,54.0,Jiri Lehecka,19,6-3 7-6(5),Jiri Lehecka
1-Oct-2025,Shanghai Masters,Hard,R32,Jiri Lehecka,19,Denis Shapovalov,24.0,6-4 6-4,Jiri Lehecka
1-Oct-2025,Shanghai Masters,Hard,R64,Jiri Lehecka,19,Quentin Halys,75.0,6-4 7-5,Jiri Lehecka
12-Sep-2025,Davis Cup QLS R2: USA vs CZE,Hard,RR,Jiri Lehecka,16,Frances Tiafoe,29.0,6-3 6-2,Jiri Lehecka
12-Sep-2025,Davis Cup QLS R2: USA vs CZE,Hard,RR,Jiri Lehecka,16,Taylor Fritz,5.0,6-4 3-6 6-4,Jiri Lehecka
25-Aug-2025,US Open,Hard,QF,Carlos Alcaraz,2.0,Jiri Lehecka,21,6-4 6-2 6-4,Jiri Lehecka
25-Aug-2025,US Open,Hard,R16,Jiri Lehecka,21,Adrian Mannarino,77.0,7-6(4) 6-4 2-6 6-2,Jiri Lehecka
25-Aug-2025,US Open,Hard,R32,Jiri Lehecka,21,Raphael Collignon,107.0,6-4 6-4 6-4,Jiri Lehecka
25-Aug-2025,US Open,Hard,R64,Jiri Lehecka,21,Tomas Martin Etcheverry,59.0,3-6 6-0 6-2 6-4,Jiri Lehecka
25-Aug-2025,US Open,Hard,R128,Jiri Lehecka,21,Borna Coric,105.0,3-6 6-4 7-6(5) 6-1,Jiri Lehecka
7-Aug-2025,Cincinnati Masters,Hard,R16,Ben Shelton,6.0,Jiri Lehecka,26,6-4 6-4,Jiri Lehecka
7-Aug-2025,Cincinnati Masters,Hard,R32,Jiri Lehecka,26,Adam Walton,85.0,7-6(5) 7-6(3),Jiri Lehecka
7-Aug-2025,Cincinnati Masters,Hard,R64,Jiri Lehecka,26,Tristan Boyer,116.0,4-6 6-1 6-4,Jiri Lehecka
27-Jul-2025,Canada Masters,Hard,R16,Taylor Fritz,4.0,Jiri Lehecka,27,7-6(4) 6-7(5) 7-6(5),Jiri Lehecka
27-Jul-2025,Canada Masters,Hard,R32,Jiri Lehecka,27,Arthur Fils,21.0,3-6 6-3 6-4,Jiri Lehecka
27-Jul-2025,Canada Masters,Hard,R64,Jiri Lehecka,27,Mackenzie Mcdonald,96.0,7-6(2) 6-4,Jiri Lehecka
21-Jul-2025,Washington,Hard,R16,Alex De Minaur,13.0,Jiri Lehecka,25,7-6(4) 6-7(6) 6-4,Jiri Lehecka
21-Jul-2025,Washington,Hard,R32,Jiri Lehecka,25,Zachary Svajda,153.0,6-4 6-7(5) 6-3,Jiri Lehecka
30-Jun-2025,Wimbledon,Grass,R64,Mattia Bellucci,73.0,Jiri Lehecka,25,7-6(4) 6-1 7-5,Jiri Lehecka
30-Jun-2025,Wimbledon,Grass,R128,Jiri Lehecka,25,Hugo Dellien,79.0,4-6 6-2 6-2 7-6(0),Jiri Lehecka
16-Jun-2025,Queen's Club,Grass,F,Carlos Alcaraz,2.0,Jiri Lehecka,30,7-5 6-7(5) 6-2,Jiri Lehecka
16-Jun-2025,Queen's Club,Grass,SF,Jiri Lehecka,30,Jack Draper,6.0,6-4 4-6 7-5,Jiri Lehecka
16-Jun-2025,Queen's Club,Grass,QF,Jiri Lehecka,30,Jacob Fearnley,60.0,7-5 6-2,Jiri Lehecka
16-Jun-2025,Queen's Club,Grass,R16,Jiri Lehecka,30,Gabriel Diallo,44.0,6-4 6-2,Jiri Lehecka
16-Jun-2025,Queen's Club,Grass,R32,Jiri Lehecka,30,Alex De Minaur,12.0,6-4 6-2,Jiri Lehecka
9-Jun-2025,Stuttgart,Grass,QF,Ben Shelton,12.0,Jiri Lehecka,33,6-4 6-4,Jiri Lehecka
9-Jun-2025,Stuttgart,Grass,R16,Jiri Lehecka,33,Jan Lennard Struff,103.0,6-4 7-5,Jiri Lehecka
9-Jun-2025,Stuttgart,Grass,R32,Jiri Lehecka,33,Benjamin Bonzi,61.0,6-4 6-4,Jiri Lehecka
26-May-2025,Roland Garros,Clay,R32,Jannik Sinner,1.0,Jiri Lehecka,34,6-0 6-1 6-2,Jiri Lehecka
26-May-2025,Roland Garros,Clay,R64,Jiri Lehecka,34,Alejandro Davidovich Fokina,29.0,6-3 3-6 6-1 6-2,Jiri Lehecka
26-May-2025,Roland Garros,Clay,R128,Jiri Lehecka,34,Jordan Thompson,40.0,6-4 6-2 6-1,Jiri Lehecka
18-May-2025,Hamburg,Clay,QF,Tomas Martin Etcheverry,55.0,Jiri Lehecka,37,7-5 6-3,Jiri Lehecka
18-May-2025,Hamburg,Clay,R16,Jiri Lehecka,37,Francisco Cerundolo,18.0,7-5 6-2,Jiri Lehecka
18-May-2025,Hamburg,Clay,R32,Jiri Lehecka,37,Borna Gojo,255.0,6-4 3-6 6-2,Jiri Lehecka
7-May-2025,Rome Masters,Clay,R128,Alexandre Muller,39.0,Jiri Lehecka,38,2-6 6-3 7-6(5),Jiri Lehecka
23-Apr-2025,Madrid Masters,Clay,R64,Cameron Norrie,91.0,Jiri Lehecka,27,2-6 6-4 6-0,Jiri Lehecka
5-Apr-2026,Monte-Carlo,Clay,R64,Arthur Rinderknech,27.0,Karen Khachanov,14,7-5 6-2,Karen Khachanov
18-Mar-2026,Miami Masters,Hard,R32,Martin Landaluce,151.0,Karen Khachanov,15,6-3 7-6(2),Karen Khachanov
18-Mar-2026,Miami Masters,Hard,R64,Karen Khachanov,15,Roberto Bautista Agut,89.0,6-3 6-3,Karen Khachanov
4-Mar-2026,Indian Wells Masters,Hard,R64,Joao Fonseca,35.0,Karen Khachanov,16,4-6 7-6(7) 6-4,Karen Khachanov
23-Feb-2026,Dubai,Hard,R16,Jenson Brooksby,49.0,Karen Khachanov,16,7-6(6) 6-4,Karen Khachanov
23-Feb-2026,Dubai,Hard,R32,Karen Khachanov,16,Alexander Shevchenko,92.0,6-7(5) 6-2 6-3,Karen Khachanov
16-Feb-2026,Doha,Hard,QF,Carlos Alcaraz,1.0,Karen Khachanov,17,6-7(3) 6-4 6-3,Karen Khachanov
16-Feb-2026,Doha,Hard,R16,Karen Khachanov,17,Marton Fucsovics,61.0,6-2 4-6 6-4,Karen Khachanov
16-Feb-2026,Doha,Hard,R32,Karen Khachanov,17,Shintaro Mochizuki,117.0,6-1 3-6 6-4,Karen Khachanov
9-Feb-2026,Rotterdam,Hard,R16,Jaume Munar,37.0,Karen Khachanov,18,7-6(8) 3-6 6-3,Karen Khachanov
9-Feb-2026,Rotterdam,Hard,R32,Karen Khachanov,18,Jesper De Jong,86.0,3-6 6-4 7-5,Karen Khachanov
19-Jan-2026,Australian Open,Hard,R32,Luciano Darderi,25.0,Karen Khachanov,18,7-6(5) 3-6 6-3 6-4,Karen Khachanov
19-Jan-2026,Australian Open,Hard,R64,Karen Khachanov,18,Nishesh Basavareddy,242.0,6-1 6-4 6-3,Karen Khachanov
19-Jan-2026,Australian Open,Hard,R128,Karen Khachanov,18,Alex Michelsen,38.0,4-6 6-4 6-3 5-7 6-3,Karen Khachanov
5-Jan-2026,Hong Kong,Hard,R16,Michael Mmoh,285.0,Karen Khachanov,17,7-6(2) 7-6(4),Karen Khachanov
27-Oct-2025,Paris Masters,Hard,R16,Alex De Minaur,6.0,Karen Khachanov,14,6-2 6-2,Karen Khachanov
27-Oct-2025,Paris Masters,Hard,R32,Karen Khachanov,14,Joao Fonseca,28.0,6-1 3-6 6-3,Karen Khachanov
27-Oct-2025,Paris Masters,Hard,R64,Karen Khachanov,14,Ethan Quinn,71.0,6-1 6-1,Karen Khachanov
20-Oct-2025,Vienna,Hard,R32,Tallon Griekspoor,28.0,Karen Khachanov,13,6-3 5-7 6-4,Karen Khachanov
13-Oct-2025,Almaty,Hard,R16,Jan Lennard Struff,98.0,Karen Khachanov,10,4-6 7-6(5) 6-3,Karen Khachanov
1-Oct-2025,Shanghai Masters,Hard,R64,Juncheng Shang,237.0,Karen Khachanov,10,7-6(3) 6-3,Karen Khachanov
25-Sep-2025,Beijing,Hard,R32,Alexandre Muller,38.0,Karen Khachanov,10,4-6 7-6(5) 6-4,Karen Khachanov
25-Aug-2025,US Open,Hard,R64,Kamil Majchrzak,76.0,Karen Khachanov,9,2-6 6-7(4) 6-4 7-5 7-6(5),Karen Khachanov
25-Aug-2025,US Open,Hard,R128,Karen Khachanov,9,Nishesh Basavareddy,104.0,6-7(5) 6-3 7-5 6-1,Karen Khachanov
7-Aug-2025,Cincinnati Masters,Hard,R16,Alexander Zverev,3.0,Karen Khachanov,12,7-5 3-0 RET,Karen Khachanov
7-Aug-2025,Cincinnati Masters,Hard,R32,Karen Khachanov,12,Jenson Brooksby,101.0,6-3 6-3,Karen Khachanov
7-Aug-2025,Cincinnati Masters,Hard,R64,Karen Khachanov,12,Valentin Royer,104.0,6-4 7-6(6),Karen Khachanov
27-Jul-2025,Canada Masters,Hard,F,Ben Shelton,7.0,Karen Khachanov,16,6-7(5) 6-4 7-6(3),Karen Khachanov
27-Jul-2025,Canada Masters,Hard,SF,Karen Khachanov,16,Alexander Zverev,3.0,6-3 4-6 7-6(4),Karen Khachanov
27-Jul-2025,Canada Masters,Hard,QF,Karen Khachanov,16,Alex Michelsen,34.0,6-4 7-6(3),Karen Khachanov
27-Jul-2025,Canada Masters,Hard,R16,Karen Khachanov,16,Casper Ruud,13.0,6-4 7-5,Karen Khachanov
27-Jul-2025,Canada Masters,Hard,R32,Karen Khachanov,16,Emilio Nava,114.0,6-7(6) 6-4 6-1,Karen Khachanov
27-Jul-2025,Canada Masters,Hard,R64,Karen Khachanov,16,Juan Pablo Ficovich,140.0,6-4 6-2,Karen Khachanov
30-Jun-2025,Wimbledon,Grass,QF,Taylor Fritz,5.0,Karen Khachanov,20,6-3 6-4 1-6 7-6(4),Karen Khachanov
30-Jun-2025,Wimbledon,Grass,R16,Karen Khachanov,20,Kamil Majchrzak,109.0,6-4 6-2 6-3,Karen Khachanov
30-Jun-2025,Wimbledon,Grass,R32,Karen Khachanov,20,Nuno Borges,37.0,7-6(6) 4-6 4-6 6-3 7-6(8),Karen Khachanov
30-Jun-2025,Wimbledon,Grass,R64,Karen Khachanov,20,Shintaro Mochizuki,144.0,1-6 7-6(7) 4-6 6-3 6-4,Karen Khachanov
30-Jun-2025,Wimbledon,Grass,R128,Karen Khachanov,20,Mackenzie Mcdonald,88.0,7-5 6-4 6-4,Karen Khachanov
16-Jun-2025,Halle,Grass,SF,Alexander Bublik,45.0,Karen Khachanov,22,4-6 7-6(5) 6-4,Karen Khachanov
16-Jun-2025,Halle,Grass,QF,Karen Khachanov,22,Tomas Martin Etcheverry,63.0,6-3 6-2,Karen Khachanov
16-Jun-2025,Halle,Grass,R16,Karen Khachanov,22,Felix Auger Aliassime,27.0,6-3 1-6 6-3,Karen Khachanov
16-Jun-2025,Halle,Grass,R32,Karen Khachanov,22,Zizou Bergs,49.0,7-5 6-3,Karen Khachanov
9-Jun-2025,s Hertogenbosch,Grass,QF,Gabriel Diallo,55.0,Karen Khachanov,24,7-6(6) 6-4,Karen Khachanov
9-Jun-2025,s Hertogenbosch,Grass,R16,Karen Khachanov,24,Mackenzie Mcdonald,99.0,6-3 5-7 7-6(4),Karen Khachanov
26-May-2025,Roland Garros,Clay,R32,Tommy Paul,12.0,Karen Khachanov,24,6-3 3-6 7-6(7) 3-6 6-3,Karen Khachanov
26-May-2025,Roland Garros,Clay,R64,Karen Khachanov,24,Sebastian Ofner,108.0,7-5 3-6 7-5 4-6 6-2,Karen Khachanov
26-May-2025,Roland Garros,Clay,R128,Karen Khachanov,24,Aleksandar Vukic,80.0,6-4 6-4 6-4,Karen Khachanov
18-May-2025,Geneva,Clay,QF,Sebastian Ofner,128.0,Karen Khachanov,24,4-6 6-4 6-4,Karen Khachanov
18-May-2025,Geneva,Clay,R16,Karen Khachanov,24,Kei Nishikori,62.0,7-5 2-5 RET,Karen Khachanov
7-May-2025,Rome Masters,Clay,R16,Carlos Alcaraz,3.0,Karen Khachanov,24,6-3 3-6 7-5,Karen Khachanov
7-May-2025,Rome Masters,Clay,R32,Karen Khachanov,24,Francesco Passaro,101.0,6-3 6-0,Karen Khachanov
7-May-2025,Rome Masters,Clay,R64,Karen Khachanov,24,Roman Andres Burruchaga,135.0,6-4 5-7 6-1,Karen Khachanov
23-Apr-2025,Madrid Masters,Clay,R32,Tommy Paul,12.0,Karen Khachanov,25,6-3 3-6 6-2,Karen Khachanov
23-Apr-2025,Madrid Masters,Clay,R64,Karen Khachanov,25,Reilly Opelka,103.0,7-6(3) 7-6(4),Karen Khachanov
14-Apr-2025,Barcelona,Clay,SF,Holger Rune,13.0,Karen Khachanov,27,6-3 6-2,Karen Khachanov
14-Apr-2025,Barcelona,Clay,QF,Karen Khachanov,27,Alejandro Davidovich Fokina,30.0,6-4 7-5,Karen Khachanov
14-Apr-2025,Barcelona,Clay,R16,Karen Khachanov,27,Jaume Munar,57.0,7-5 6-4,Karen Khachanov
14-Apr-2025,Barcelona,Clay,R32,Karen Khachanov,27,Cameron Norrie,88.0,6-7(3) 6-4 6-3,Karen Khachanov
5-Apr-2026,Monte-Carlo,Clay,R32,Zizou Bergs,47.0,Andrey Rublev,15,6-4 6-1,Andrey Rublev
5-Apr-2026,Monte-Carlo,Clay,R64,Andrey Rublev,15,Nuno Borges,50.0,6-4 1-6 6-1,Andrey Rublev
18-Mar-2026,Miami Masters,Hard,R64,Alejandro Tabilo,41.0,Andrey Rublev,16,6-7(5) 6-2 6-4,Andrey Rublev
4-Mar-2026,Indian Wells Masters,Hard,R64,Gabriel Diallo,38.0,Andrey Rublev,17,6-7(4) 7-6(1) 6-3,Andrey Rublev
23-Feb-2026,Dubai,Hard,SF,Tallon Griekspoor,25.0,Andrey Rublev,18,7-5 7-6(6),Andrey Rublev
23-Feb-2026,Dubai,Hard,QF,Andrey Rublev,18,Arthur Rinderknech,31.0,6-2 6-4,Andrey Rublev
23-Feb-2026,Dubai,Hard,R16,Andrey Rublev,18,Ugo Humbert,37.0,6-4 6-7(5) 6-3,Andrey Rublev
23-Feb-2026,Dubai,Hard,R32,Andrey Rublev,18,Valentin Royer,54.0,6-3 6-4,Andrey Rublev
16-Feb-2026,Doha,Hard,SF,Carlos Alcaraz,1.0,Andrey Rublev,14,7-6(3) 6-4,Andrey Rublev
16-Feb-2026,Doha,Hard,QF,Andrey Rublev,14,Stefanos Tsitsipas,33.0,6-3 7-6(2),Andrey Rublev
16-Feb-2026,Doha,Hard,R16,Andrey Rublev,14,Fabian Marozsan,48.0,6-2 6-4,Andrey Rublev
16-Feb-2026,Doha,Hard,R32,Andrey Rublev,14,Jesper De Jong,86.0,6-4 6-3,Andrey Rublev
19-Jan-2026,Australian Open,Hard,R32,Francisco Cerundolo,21.0,Andrey Rublev,15,6-3 7-6(4) 6-3,Andrey Rublev
19-Jan-2026,Australian Open,Hard,R64,Andrey Rublev,15,Jaime Faria,151.0,6-4 6-3 4-6 7-5,Andrey Rublev
19-Jan-2026,Australian Open,Hard,R128,Andrey Rublev,15,Matteo Arnaldi,65.0,6-4 6-2 6-3,Andrey Rublev
5-Jan-2026,Hong Kong,Hard,SF,Lorenzo Musetti,7.0,Andrey Rublev,16,6-7(3) 7-5 6-4,Andrey Rublev
5-Jan-2026,Hong Kong,Hard,QF,Andrey Rublev,16,Nuno Borges,45.0,6-3 6-4,Andrey Rublev
5-Jan-2026,Hong Kong,Hard,R16,Andrey Rublev,16,Yibing Wu,179.0,3-6 6-2 6-1,Andrey Rublev
27-Oct-2025,Paris Masters,Hard,R16,Ben Shelton,7.0,Andrey Rublev,17,7-6(6) 6-3,Andrey Rublev
27-Oct-2025,Paris Masters,Hard,R32,Andrey Rublev,17,Learner Tien,39.0,6-4 6-4,Andrey Rublev
27-Oct-2025,Paris Masters,Hard,R64,Andrey Rublev,17,Jacob Fearnley,78.0,6-1 6-4,Andrey Rublev
20-Oct-2025,Vienna,Hard,R32,Cameron Norrie,35.0,Andrey Rublev,15,6-2 6-7(5) 6-2,Andrey Rublev
1-Oct-2025,Shanghai Masters,Hard,R64,Yoshihito Nishioka,173.0,Andrey Rublev,14,2-6 6-1 6-4,Andrey Rublev
25-Sep-2025,Beijing,Hard,R32,Flavio Cobolli,25.0,Andrey Rublev,14,7-6(3) 6-3,Andrey Rublev
17-Sep-2025,Hangzhou,Hard,R16,Valentin Royer,88.0,Andrey Rublev,14,6-4 7-6(2),Andrey Rublev
25-Aug-2025,US Open,Hard,R16,Felix Auger Aliassime,27.0,Andrey Rublev,15,7-5 6-3 6-4,Andrey Rublev
25-Aug-2025,US Open,Hard,R32,Andrey Rublev,15,Coleman Wong,173.0,2-6 6-4 6-3 4-6 6-3,Andrey Rublev
25-Aug-2025,US Open,Hard,R64,Andrey Rublev,15,Tristan Boyer,113.0,6-3 6-3 5-7 7-6(4),Andrey Rublev
25-Aug-2025,US Open,Hard,R128,Andrey Rublev,15,Dino Prizmic,124.0,6-4 6-4 6-4,Andrey Rublev
7-Aug-2025,Cincinnati Masters,Hard,QF,Carlos Alcaraz,2.0,Andrey Rublev,11,6-3 4-6 7-5,Andrey Rublev
7-Aug-2025,Cincinnati Masters,Hard,R16,Andrey Rublev,11,Francisco Comesana,71.0,6-2 6-3,Andrey Rublev
7-Aug-2025,Cincinnati Masters,Hard,R32,Andrey Rublev,11,Alexei Popyrin,19.0,6-7(5) 7-6(5) 7-5,Andrey Rublev
7-Aug-2025,Cincinnati Masters,Hard,R64,Andrey Rublev,11,Learner Tien,55.0,7-6(4) 6-3,Andrey Rublev
27-Jul-2025,Canada Masters,Hard,QF,Taylor Fritz,4.0,Andrey Rublev,11,6-3 7-6(4),Andrey Rublev
27-Jul-2025,Canada Masters,Hard,R16,Andrey Rublev,11,Alejandro Davidovich Fokina,19.0,6-7(3) 7-6(2) 3-0 RET,Andrey Rublev
27-Jul-2025,Canada Masters,Hard,R32,Andrey Rublev,11,Lorenzo Sonego,38.0,5-7 6-4 6-3,Andrey Rublev
27-Jul-2025,Canada Masters,Hard,R64,Andrey Rublev,11,Hugo Gaston,126.0,6-2 6-3,Andrey Rublev
21-Jul-2025,Washington,Hard,R32,Learner Tien,67.0,Andrey Rublev,10,7-5 6-2,Andrey Rublev
14-Jul-2025,Los Cabos,Hard,SF,Aleksandar Kovacevic,76.0,Andrey Rublev,10,3-6 6-4 6-4,Andrey Rublev
14-Jul-2025,Los Cabos,Hard,QF,Andrey Rublev,10,Emilio Nava,123.0,5-7 6-4 6-3,Andrey Rublev
14-Jul-2025,Los Cabos,Hard,R16,Andrey Rublev,10,Juan Alejandro Hernandez Serrano,493.0,6-3 6-2,Andrey Rublev
30-Jun-2025,Wimbledon,Grass,R16,Carlos Alcaraz,2.0,Andrey Rublev,14,6-7(5) 6-3 6-4 6-4,Andrey Rublev
30-Jun-2025,Wimbledon,Grass,R32,Andrey Rublev,14,Adrian Mannarino,123.0,7-5 6-2 6-3,Andrey Rublev
30-Jun-2025,Wimbledon,Grass,R64,Andrey Rublev,14,Lloyd Harris,320.0,6-7(1) 6-4 7-6(5) 6-3,Andrey Rublev
30-Jun-2025,Wimbledon,Grass,R128,Andrey Rublev,14,Laslo Djere,60.0,6-0 7-6(5) 6-7(9) 7-6(6),Andrey Rublev
